Pub Year,Total_PMCID_counts,Pubs_with_Proper_Acknowledgements
1980,18856,17
1981,18914,14
1982,20320,18
1983,21376,14
1984,22036,20
1985,22003,14
1986,22912,24
1987,23957,30
1988,25230,30
1989,26612,45
1990,27173,50
1991,28225,39
1992,29399,48
1993,30120,49
1994,30622,38
1995,31664,74
1996,32391,103
1997,33494,992
1998,34894,1013
1999,36467,985
2000,38313,1153
2001,38041,1396
2002,40870,2096
2003,44186,2661
2004,49175,3655
2005,59075,6065
2006,68657,8577
2007,87190,12492
2008,129257,18456
2009,163282,22037
2010,190905,23778
2011,226340,34698
2012,269705,49062
2013,309155,60785
2014,344501,80284
2015,376319,100997
2016,390321,114142
2017,407257,124457
