word,part_of_speech,observations,avg_gender_score,p_value
_baseline,NOUN,303970,0.3946420699411125,1.0
_baseline,ADJ,303970,0.3946420699411125,1.0
_baseline,VERB,303970,0.3946420699411125,1.0
thank,VERB,161394,0.407704251707007,8.591450019513006e-27
be,VERB,70128,0.3758635637690917,1.843412382908461e-24
author,NOUN,66122,0.42339478539668146,2.8824152120397814e-51
assistance,NOUN,48822,0.5452529597312775,5e-324
manuscript,NOUN,47301,0.4185408342318327,3.159301921879305e-26
would,VERB,45246,0.41657627193564095,1.9178325558126398e-21
like,VERB,45000,0.41699888888888914,4.423506846918264e-22
provide,VERB,39711,0.3339422326307744,5.047724898784428e-138
support,NOUN,29118,0.41904972869016277,2.2801665121015205e-17
acknowledge,VERB,27560,0.4195660377358554,3.4141219320547114e-17
acknowledgement,NOUN,27293,0.42065144908951607,2.224241207750575e-18
help,NOUN,25945,0.4438169204085586,2.8130431410703776e-58
technical,ADJ,24618,0.5693070111300591,5e-324
grateful,ADJ,23694,0.3794298134548929,1.5977992291779932e-06
comment,NOUN,21436,0.3110575667102207,1.215910098206384e-142
study,NOUN,20337,0.43099031322221143,5.098571496682041e-26
datum,NOUN,19891,0.4248579759690361,4.308832962809092e-18
discussion,NOUN,19380,0.26927141382870096,9.724734224021869e-294
analysis,NOUN,18055,0.3728191636665843,1.7945927174688627e-09
helpful,ADJ,17569,0.3034549490580114,1.3243433216227607e-139
thank,NOUN,12892,0.38509773502948474,0.026054405262243813
who,NOUN,12103,0.4233314054366767,1.3825288011587003e-10
critical,ADJ,11802,0.35767497034401524,1.43005429791796e-16
advice,NOUN,11796,0.30406154628688287,3.7406789873260673e-93
work,NOUN,11767,0.3806696694144702,0.0019170170152178559
wish,VERB,10323,0.4233837062869347,2.9932260460738708e-09
acknowledgment,NOUN,10194,0.4098351971748123,0.0018665120408666706
valuable,ADJ,9863,0.3403964311061594,9.397199549177533e-29
suggestion,NOUN,8713,0.29902674165041165,3.536944888072035e-77
contribution,NOUN,8556,0.44134992987377575,1.6837143208322245e-18
research,NOUN,8542,0.425520955279796,7.012166865526629e-09
statistical,ADJ,8384,0.34230438931298224,3.847840683131291e-23
support,VERB,8129,0.4004231762824487,0.286212694907389
reading,NOUN,7920,0.3812424242424276,0.014347228758648899
preparation,NOUN,7595,0.5309111257406183,6.964150051071526e-127
paper,NOUN,7372,0.3688903960933313,5.614760391213107e-06
project,NOUN,7278,0.40741962077494076,0.02652758717484778
collection,NOUN,7136,0.4910692264573972,5.580553654058272e-61
excellent,ADJ,6656,0.6602418870192248,0.0
review,NOUN,6523,0.40084010424651456,0.31701823193059087
help,VERB,6413,0.4040215187899608,0.1317261907469892
use,VERB,6219,0.30210644798199,3.562185777092603e-52
member,NOUN,5982,0.4112102975593463,0.00952953920888995
sample,NOUN,5980,0.43264715719063795,2.3866277768788574e-09
staff,NOUN,5841,0.4547063858928265,1.5794949899403493e-20
fund,VERB,5802,0.4464581178903842,1.1343148521354256e-15
laboratory,NOUN,5784,0.42687932226832737,5.982682016487165e-07
reviewer,NOUN,5739,0.2833333333333323,1.649313669807151e-69
experiment,NOUN,5648,0.42369511331444915,9.04970946528348e-06
edit,VERB,5625,0.5579111111111122,1.4813204063517829e-134
cell,NOUN,5521,0.35495019018293633,1.1425184003834776e-09
grant,NOUN,5361,0.3816246968849086,0.04883881469749185
anonymous,ADJ,5279,0.2605815495358958,2.2026638616364017e-93
early,ADJ,5144,0.3417340590979775,4.08960517080977e-15
editing,NOUN,5108,0.5411844166014097,5.876769918116453e-99
phd,NOUN,4859,0.4905721341839897,1.2807309282161172e-41
perform,VERB,4647,0.416935657413385,0.00209251052966744
appreciate,VERB,4590,0.3975315904139429,0.7058311175905725
editorial,ADJ,4478,0.6397364895042406,3.027499663933868e-239
version,NOUN,4422,0.34048620533695095,1.0216339748400976e-13
special,ADJ,4183,0.3944872101362654,0.9873813974363157
english,ADJ,4120,0.483851941747572,5.793245217266967e-31
useful,ADJ,4070,0.27261179361179244,5.668156082076525e-60
language,NOUN,4052,0.4797877591312934,5.233965967072181e-28
have,VERB,4031,0.35214338873728485,2.664496457877609e-08
article,NOUN,4024,0.4177758449304168,0.00284713923280412
gift,NOUN,3800,0.2247342105263145,4.5020888266788864e-110
draft,NOUN,3742,0.42682255478353776,6.386347246256383e-05
mouse,NOUN,3702,0.3217801188546723,4.281248674326892e-20
express,VERB,3643,0.36301674444139354,8.385778048201718e-05
