word,part_of_speech,observations,avg_gender_score,p_value,effect_size
_baseline,NOUN,303970,0.3946420699411125,1.0,0.0
_baseline,ADJ,303970,0.3946420699411125,1.0,0.0
_baseline,VERB,303970,0.3946420699411125,1.0,0.0
thank,VERB,161394,0.407704251707007,8.591450019513006e-27,0.01306218176589452
be,VERB,70128,0.3758635637690917,1.843412382908461e-24,-0.018778506172020815
author,NOUN,66122,0.42339478539668146,2.8824152120397814e-51,0.028752715455568956
assistance,NOUN,48822,0.5452529597312775,5e-324,0.15061088979016501
manuscript,NOUN,47301,0.4185408342318327,3.159301921879305e-26,0.023898764290720187
would,VERB,45246,0.41657627193564095,1.9178325558126398e-21,0.021934201994528446
like,VERB,45000,0.41699888888888914,4.423506846918264e-22,0.022356818947776635
provide,VERB,39711,0.3339422326307744,5.047724898784428e-138,-0.06069983731033812
support,NOUN,29118,0.41904972869016277,2.2801665121015205e-17,0.024407658749050265
acknowledge,VERB,27560,0.4195660377358554,3.4141219320547114e-17,0.024923967794742874
acknowledgement,NOUN,27293,0.42065144908951607,2.224241207750575e-18,0.026009379148403566
help,NOUN,25945,0.4438169204085586,2.8130431410703776e-58,0.049174850467446074
technical,ADJ,24618,0.5693070111300591,5e-324,0.1746649411889466
grateful,ADJ,23694,0.3794298134548929,1.5977992291779932e-06,-0.0152122564862196
comment,NOUN,21436,0.3110575667102207,1.215910098206384e-142,-0.08358450323089178
study,NOUN,20337,0.43099031322221143,5.098571496682041e-26,0.036348243281098924
datum,NOUN,19891,0.4248579759690361,4.308832962809092e-18,0.030215906027923567
discussion,NOUN,19380,0.26927141382870096,9.724734224021869e-294,-0.12537065611241155
analysis,NOUN,18055,0.3728191636665843,1.7945927174688627e-09,-0.02182290627452821
helpful,ADJ,17569,0.3034549490580114,1.3243433216227607e-139,-0.0911871208831011
who,NOUN,12103,0.4233314054366767,1.3825288011587003e-10,0.028689335495564183
critical,ADJ,11802,0.35767497034401524,1.43005429791796e-16,-0.036967099597097264
advice,NOUN,11796,0.30406154628688287,3.7406789873260673e-93,-0.09058052365422964
work,NOUN,11767,0.3806696694144702,0.0019170170152178559,-0.013972400526642281
wish,VERB,10323,0.4233837062869347,2.9932260460738708e-09,0.02874163634582222
acknowledgment,NOUN,10194,0.4098351971748123,0.0018665120408666706,0.01519312723369981
valuable,ADJ,9863,0.3403964311061594,9.397199549177533e-29,-0.05424563883495309
suggestion,NOUN,8713,0.29902674165041165,3.536944888072035e-77,-0.09561532829070085
contribution,NOUN,8556,0.44134992987377575,1.6837143208322245e-18,0.04670785993266324
research,NOUN,8542,0.425520955279796,7.012166865526629e-09,0.030878885338683493
statistical,ADJ,8384,0.34230438931298224,3.847840683131291e-23,-0.05233768062813027
preparation,NOUN,7595,0.5309111257406183,6.964150051071526e-127,0.13626905579950577
paper,NOUN,7372,0.3688903960933313,5.614760391213107e-06,-0.02575167384778121
collection,NOUN,7136,0.4910692264573972,5.580553654058272e-61,0.0964271565162847
excellent,ADJ,6656,0.6602418870192248,0.0,0.2655998170781123
use,VERB,6219,0.30210644798199,3.562185777092603e-52,-0.09253562195912252
member,NOUN,5982,0.4112102975593463,0.00952953920888995,0.01656822761823379
sample,NOUN,5980,0.43264715719063795,2.3866277768788574e-09,0.03800508724952545
staff,NOUN,5841,0.4547063858928265,1.5794949899403493e-20,0.06006431595171402
fund,VERB,5802,0.4464581178903842,1.1343148521354256e-15,0.05181604794927169
laboratory,NOUN,5784,0.42687932226832737,5.982682016487165e-07,0.03223725232721486
reviewer,NOUN,5739,0.2833333333333323,1.649313669807151e-69,-0.11130873660778018
experiment,NOUN,5648,0.42369511331444915,9.04970946528348e-06,0.02905304337333664
