tag,observations
p,1729517
__total_documents,1173155
title,993907
sec,405864
italic,134127
funding-source,77944
bold,66987
ext-link,44945
sup,40640
xref,31446
award-id,19794
named-content,10376
td,6358
list-item,5627
sub,5397
uri,2257
email,2091
underline,1803
sc,1699
tr,1661
surname,1655
given-names,1654
name,1307
list,977
abbrev,867
def,707
label,682
def-item,637
term,637
break,469
ref,428
year,427
source,410
article-title,389
fpage,387
lpage,366
volume,351
string-name,348
person-group,316
mml:mi,285
caption,283
pub-id,278
inline-formula,277
mml:mo,257
mml:mrow,250
inline-graphic,230
element-citation,223
fn,215
mml:math,209
boxed-text,208
mixed-citation,206
th,164
tex-math,163
alternatives,148
monospace,106
graphic,91
table,83
tbody,83
table-wrap,81
mml:mn,80
mml:msub,70
publisher-name,66
fn-group,63
def-list,61
styled-content,60
publisher-loc,57
fig,54
institution,52
institution-wrap,52
grant-sponsor,52
media,47
supplementary-material,46
grant-num,46
mml:msup,44
thead,40
mml:mtext,36
related-article,27
mml:mover,26
alt-text,25
issue,18
etal,15
col,13
mml:msubsup,13
table-wrap-foot,13
disp-formula,12
ref-list,12
chapter-title,11
chem-struct,10
object-id,10
sans-serif,9
strike,8
comment,8
collab,6
disp-quote,6
edition,5
mml:mfenced,5
inline-supplementary-material,5
mml:munder,4
overline,3
colgroup,3
mml:mfrac,3
glyph-ref,3
private-char,3
glossary,3
font,2
statement,2
conf-name,2
conf-loc,2
mml:mspace,2
attrib,2
preformat,2
mml:mstyle,2
page-range,1
copyright-holder,1
permissions,1
mml:munderover,1
season,1
def-head,1
term-head,1
suffix,1
array,1
