,Both Sets,ack_present,ack_absent,Percent Present
PloS one,199016,142629.0,56387.0,0.7166710214254131
Scientific reports,76267,71743.0,4524.0,0.9406820774384728
The Hospital,32884,0.0,32884.0,0.0
Oncotarget,23944,17678.0,6266.0,0.738306047444036
"Acta crystallographica. Section E, Structure reports online",23609,20870.0,2739.0,0.8839849210047016
The Journal of experimental medicine,22953,5989.0,16964.0,0.26092449788698646
British journal of cancer,22371,7290.0,15081.0,0.32586831165347996
The Indian medical gazette,21857,0.0,21857.0,0.0
The Journal of cell biology,21449,7973.0,13476.0,0.37171896125693504
Nucleic acids research,17091,14696.0,2395.0,0.8598677666608157
Nature communications,16657,15938.0,719.0,0.9568349642792819
"Sensors (Basel, Switzerland)",14799,12969.0,1830.0,0.8763429961483884
BioMed research international,14281,10780.0,3501.0,0.7548491002030671
International journal of molecular sciences,14049,12582.0,1467.0,0.8955797565663036
Environmental health perspectives,13591,1094.0,12497.0,0.08049444485321168
BMC public health,12020,6587.0,5433.0,0.5480033277870217
Frontiers in psychology,11544,7082.0,4462.0,0.6134788634788635
BMC genomics,11109,6893.0,4216.0,0.6204878926996129
Medicine,11091,2278.0,8813.0,0.20539175908394194
BMJ open,10817,6298.0,4519.0,0.5822316723675696
Frontiers in microbiology,10171,8268.0,1903.0,0.8128994199193786
TheScientificWorldJournal,9218,5478.0,3740.0,0.594272076372315
Emerging infectious diseases,8902,6328.0,2574.0,0.7108514940462818
BMC cancer,8866,5137.0,3729.0,0.5794044665012407
Frontiers in plant science,8471,7124.0,1347.0,0.8409868964703104
BMC bioinformatics,8470,4955.0,3515.0,0.5850059031877214
The Journal of general physiology,8194,2003.0,6191.0,0.24444715645594337
International journal of environmental research and public health,7866,6913.0,953.0,0.8788456648868548
PLoS genetics,7350,6390.0,960.0,0.8693877551020408
Frontiers in immunology,6838,4310.0,2528.0,0.6303012576776835
PLoS pathogens,6809,5654.0,1155.0,0.8303715670436187
Evidence-based complementary and alternative medicine : eCAM,6752,5723.0,1029.0,0.847600710900474
Genome announcements,6714,6317.0,397.0,0.9408698242478404
"Critical care (London, England)",6348,2085.0,4263.0,0.3284499054820416
PLoS neglected tropical diseases,6336,4810.0,1526.0,0.7591540404040404
BMC health services research,6271,3889.0,2382.0,0.6201562749162813
Edinburgh medical journal,6263,0.0,6263.0,0.0
BMC research notes,6225,3381.0,2844.0,0.5431325301204819
BMC infectious diseases,5986,3409.0,2577.0,0.5694954894754427
PLoS computational biology,5805,4070.0,1735.0,0.7011197243755384
Journal of Korean medical science,5678,821.0,4857.0,0.14459316660796054
eLife,5524,4639.0,885.0,0.8397900072411296
