filenamne,Text,keywords
3D_Print_Med/PMC5954789.nxml,"The authors wish to acknowledge Diya Ma, Matthew-Lun Wong, Ka-Long Ko, Ka-Hei Ko and Jin-Peng Lee for their important contributions to the software development.",software
3D_Print_Med/PMC5954792.nxml,The authors would like to thank Michel Vong of the University of Edinburgh for his help and support in the operation of the 3D printing and video recording/editing.,printing
3D_Print_Med/PMC5954794.nxml,"The authors would like to thank Dr. Dinghau Huang of Ming Chi University of Technology and Prof. Pi-Hsia Liu of the Chang Gung University of Science and Technology for their arrangement for voluntary participants in the orthosis design exercise, and great advice concerning the interviews.",design
3D_Print_Med/PMC5954797.nxml,"SL: Study design, Data Acquisition, Data Analysis, Drafting of manuscript, Critical revision of the manuscript.",analysis;data;design
3D_Print_Med/PMC6036666.nxml,"The authors would like to thank Thomas Vrieze for assistance in phantom data acquisition, and Kris Nunez for assistance in manuscript preparation.",data
3D_Print_Med/PMC6036666.nxml,"Study design, Data Acquisition, Data Analysis, Drafting of manuscript, Critical revision of the manuscript.",analysis;data;design
3D_Print_Med/PMC6036666.nxml,"Study design, Data Acquisition, Data Analysis, Critical revision of the manuscript.",analysis;data;design
3D_Print_Med/PMC6036666.nxml,"SL: Study design, Data Acquisition, Data Analysis, Drafting of manuscript, Critical revision of the manuscript.",analysis;data;design
3D_Print_Med/PMC6036764.nxml,These include Dr. Bill Mohler from the University of Connecticut at Farmington for the  C. elegans  embryo dataset and Dr. Sara Crittenden at the University of Wisconsin at Madison for the dataset of the distal tip cell.,cell
3D_Print_Med/PMC6036601.nxml,"The authors wish to acknowledge Teng Zhang, Matthew-Lun Wong, Ka-Long Ko, Ka-Hei Ko, Lily Ma, Jin-Peng Lee for their import contributions to the software development, and Nicholas K.W. Kwok, Winnie Chiu-Wing Chu, Jack Chun-Yiu Cheng for their great advices and helpful discussions.",software
3D_Print_Med/PMC6036610.nxml,The authors would like to thank Drs Bohdan Pomahac and Amir Imanzadeh for their invaluable contribution in data collection and in preparation of the manuscript.,data
3_Biotech/PMC3339618.nxml,"The authors would like to express their gratitude to Professor Roy H. Doi from the University of California (USA) for the kind donation of the  C. cellulovorans  plasmid constructs, and thanks to Dr Volker Fischer from Agro-yields, South Africa, for kindly providing the sugar beet.",plasmid
3_Biotech/PMC3339622.nxml,"We thank Dr Deborah Stenzel, QUT, for assistance in electron microscopy.",microscopy
3_Biotech/PMC3482444.nxml,"The authors would like to thank Prof. Jayesh Bellare, Department of Chemical Engineering, IIT Bombay for providing facilities for BET surface area measurement and Centre for Research in Nanotechnology and Science—Sophisticated Analytical Instrumental Centre (CRNTS-SAIF) at IIT Bombay for FTIR analysis of algal samples.",analysis;chemical
3_Biotech/PMC3339602.nxml,"The Authors are grateful to Dr. G. S. Avadhani, Principal Research Scientist, IISc, India, for taking TEM images.",tem
3_Biotech/PMC3433876.nxml,"We thank Prof. K. Veluthambi, MKU, Madurai, India for  Agrobacterium tumefaciens  strain and Center for
Application of Molecular Biology to International Agriculture (CAMBIA), Australia
for pCAMBIA2301.",strain
3_Biotech/PMC3597133.nxml,"The authors want to express their thanks to Prof. A. Subrahmanyam, Meerut Institute of Engineering and Technology, Meerut, India for providing the strain for this study.",strain
3_Biotech/PMC3723860.nxml,"The authors are thankful to Dr. R. Malhotra, Scientist (Statistics), National Dairy Research Institute (NDRI), Karnal for his help in statistical analysis of the data.",analysis;data;statistical;statistics
3_Biotech/PMC3824784.nxml,"Authors thank Helen Chan laboratory assistant and Pedro J Martinez Garcia postdoc at UC Davis, for their collaboration in lab work and data analysis.",analysis;data
3_Biotech/PMC3646113.nxml,"Shripad N. Surwase is thankful to Dr. James S. Hyde and Dr. Christopher C. Felix, Department of Biophysics and Center for Imaging Research Medical College of Wisconsin, Milwaukee, WI, USA, for providing EPR analysis facility.",analysis;imaging
3_Biotech/PMC3964253.nxml,"We wish to thank Dr. B. Meyer, Mr. M. Rajab for helping in DNA sequencing, M. Al-Buhairi, N. Venturina for technical assistance, and Dr. M. Shoukri for statistical advice.",dna;sequencing;statistical
3_Biotech/PMC3964251.nxml,"The authors gratefully acknowledge School of Chemical Sciences, Mahatma Gandhi University, Kottayam, Kerala, India, for the help and support for the analysis of samples and also DBT-RGYI (Department of Biotechnology-Rapid Grant Young Investigator) Programme for the instrumentation facility.",analysis;chemical
3_Biotech/PMC4235891.nxml,"The authors would like to thank Dr. U Basu (Department of Molecular Biology and Biotechnology, University of Kalyani) and Dr. P Roy (SINP) for providing nanodrop and TEM facilities, respectively.",tem
3_Biotech/PMC4624133.nxml,"The Web interface for Signal Scan was kindly provided by Ms. Meena Sakharkar at Bioinformatics Centre, NUS, Singapore.",scan
3_Biotech/PMC4434417.nxml,"We express our heartfelt thanks to Mrs. K. Prashanthi, Jain University, Bangalore, for her assistance in HPLC analysis.",analysis;hplc
3_Biotech/PMC4362734.nxml,The authors wish to thank Daniel van de Pas for SEW preparation and Katrina Martin for analysis of the substrate using ion chromatography.,analysis;chromatography
3_Biotech/PMC4909027.nxml,"The authors would like to thank Plant Tissue Culture Laboratory of Dikili Ciftlik in vitro Fidan A. S, Dikili-Izmir, Turkey, for kindly providing us endophytes comprising rootstock samples.",culture;tissue
3_Biotech/PMC4522729.nxml,"We also thank Yuehan Lu, University of Alabama, Tuscaloosa, AL, for providing the results of the GC–MS analysis of the sediment samples; John Delton Hanson of Research and Testing Laboratory, TX for assisting us with the bTEFAP of the samples; Katherine V. Hughes and Matthew Pace of UAB CAS IT for computer support.",analysis
3_Biotech/PMC4569639.nxml,"We thank Dr. M. Lakshman, Associate Professor, Ruska Lab, College of Veterinary Science, Rajendranagar, Hyderabad, for SEM analysis and all the staff of the biocontrol unit of ICRISAT including M/s PVS.",analysis;sem
3_Biotech/PMC4569624.nxml,"Authors thank the management of Jain University, India for providing necessary facilities to carry out the work and Dr. Savithri H.S., Department of Biochemistry, Indian Institute of Science, Bangalore, India for providing the HPLC facility.",hplc
3_Biotech/PMC4940232.nxml,The help provided by Dr. Tiratha Raj Singh in performing statistical analysis is also acknowledged.,analysis;statistical
3_Biotech/PMC4752955.nxml,We would like to thank Saeed Vakilian for some statistical analysis.,analysis;statistical
3_Biotech/PMC4697910.nxml,"Vo Van Giau collected the samples, performed the experiments, analyzed and interpreted the data and wrote the manuscript.",data
3_Biotech/PMC4729760.nxml,"Authors wish to thank Dr. P.H. Tank, Dr. M. G. Maradia, Dr. P. I. Vaghela, Dr. B. M. Shah and Dr. U. G. Koringa for kindly providing horn cancer and normal tissue.",tissue
3_Biotech/PMC4909029.nxml,We would like to thank Analytical Sciences department at Praj Matrix for the analysis of samples and Mr. Siddharth Pal for providing hemicellulosic hydrolysate of corn cob.,analysis
3_Biotech/PMC4701705.nxml,"We thank Dr. K. K. Kumar (Department of Plant Biotechnology, TNAU) for his help in Southern analysis.",analysis
3_Biotech/PMC4752952.nxml,Authors thank as well Thiago de Jesus Costa (Universidade de Brasília) and João Victor Mendanha Costa (Universidade Católica de Brasília) for the technical support and Sônia Báo (Universidade de Brasília) who provided facilities at the Laboratory of Electron Microscopy.,microscopy
3_Biotech/PMC4912962.nxml,"We thank Prof. T. Satyanarayana, Department of Microbiology, South Campus, Delhi University, Delhi, for extending facilities for enzyme purification.",enzyme
3_Biotech/PMC4909018.nxml,"We would like to thank Dr. Ghada A. Abu El-Heba, Researcher, Department of Nucleic Acid and Protein Structure, Agricultural Genetic Engineering Research Institute (AGERI), ARC, Giza, Egypt, for helping us in gene sequencing and alignment.",protein;sequencing
3_Biotech/PMC5005230.nxml,"We thank Dr. Wolfgang Zachariae, Max Planck Institute of Molecular Cell Biology and Genetics, Germany for providing genomic-tagged  CDC5 - TAP  yeast strains.",cell
3_Biotech/PMC5002272.nxml,"We thank Dr. Sandeep Kale for providing HPLC facility at DBT-ICT Centre for Energy Biosciences, Institute of Chemical Technology, Mumbai, India.",chemical;hplc
3_Biotech/PMC5112185.nxml,The authors wish to thank Picklu Mandal for all his assistance during sample collection.,sample
3_Biotech/PMC5042906.nxml,"Vo Van Giau collected the samples, performed the experiments, analyzed and interpreted the data and wrote the manuscript.",data
3_Biotech/PMC5052223.nxml,"The authors are highly grateful to Dr. A. Spena, Max-Planck-Institute fur Zuchtungsforschung, 5000 Koin 30, FRG for providing the vectors.",vectors
3_Biotech/PMC4569622.nxml,"The first author thankfully acknowledge for the research assistantship provided by TEQIP-II (Technical Education Quality Improvement Programme) and Mr. Smritiranjan Majhi from Central Instrument Facility Laboratory, Bose Institute, Kolkata (West Bengal), India for the technical support in GC–MS analysis.",analysis
3_Biotech/PMC5116299.nxml,Sequencing  M. burkeana  RNA was performed at the Biotechnology Platform of the Agricultural Research Council of South Africa.,rna;sequencing
3_Biotech/PMC5010538.nxml,"Technical assistance for HPLC analysis provided by Dr. R.N. Ram, Professor and Head, Department of Fishery Biology, College of Fisheries is gratefully acknowledged.",analysis;hplc
3_Biotech/PMC4752949.nxml,"They also wish to acknowledge Dr. K. Kartikeyan, Gujarat Institute of Desert Ecology, for help in physicochemical analysis of soil samples.",analysis
3_Biotech/PMC5234526.nxml,"We extend our sincere thanks to Dr. Thenmalarchelvi Rathinavelan, Department of Biotechnology, and Dr. Debraj Bhattacharya and Dr. K. B. V. N Phanindra, Department of Civil Engineering, IIT Hyderabad for allowing us to do spectrophotometric analysis.",analysis
3_Biotech/PMC5009053.nxml,"Director and Mr. Dineep D., Scientific Assistant of the Inter-University Instrumentation Centre, Mahatma Gandhi University, Kottayam for the help and support for the LC–MS/MS analysis.",analysis
3_Biotech/PMC5403768.nxml,Authors greatfully acknowledge Mr. Rupak Kishor for his help in EDX analysis.,analysis
3_Biotech/PMC5388660.nxml,We are also thankful to Dr. P. N. Saxena for his help in SEM studies.,sem
3_Biotech/PMC5391370.nxml,"The authors also gratefully acknowledge R. K. Roy, Nutek Inc., USA, for providing the Qualitek-4 software.",software
3_Biotech/PMC5766454.nxml,We would like to thank Andrzej Kuźma for special care given to the animals.,animals
3_Biotech/PMC5866818.nxml,"The authors thank the following organizations for providing facilities including Energy Research Center (ERC), School of Renewable Energy, Program in Biotechnology (Faculty of Science) and Swine farm (Animal Science and technology), Maejo University, Chiang Mai, Thailand.",animal
AAPS_J/PMC3326161.nxml,"We thank Willard Foss, Viktor Peykov, Tapas De and Jon Cordia at Celgene for providing data on attempted copies of nab-paclitaxel.",data
AAPS_J/PMC3282010.nxml,"The authors acknowledge Dr. Urs Simmen (Schötzau & Simmen, Statistische Beratungen, Switzerland) for his assistance in statistical work.",statistical
AAPS_J/PMC3281999.nxml,"We thank Robin Hartman, Maaike Labots, and Nathalie Doorenweerd for help with the animal surgery and microdialysis experiments.",animal
AAPS_J/PMC2976986.nxml,"The authors would like to thank P. Pfaffenbach (Solvay Infra Bad Hönningen GmbH, Hannover, Germany) for his assistance on XRPD analysis.",analysis
AAPS_J/PMC3787226.nxml,The authors acknowledge Dr. Vishwas Rai for the help and assistance provided with the cell culture work.,cell;culture
AAPS_J/PMC4540732.nxml,"Robert Connor and Ge Wei for assistance with protein purifications, and Dr. Rose Sekulovich for assistance with extended characterization of purified antibodies.",protein
AAPS_J/PMC4476998.nxml,"Many thanks to Mark Maasland (Fraunhofer) for the morphometric analysis and program development, Yulia Mordashova for the excellent statistical support, and Jacob Lee for his outstanding mass spectrometric serum hepcidin measurements.",analysis;serum;statistical
