filename,Names,Nouns,Organizations,Text,Verbs
20_Century_Br_Hist/PMC4804230.nxml,Mathew Thomson,author;reviewers;comments;drafts;article,,"The author would like to sincerely thank the anonymous reviewers, as well as Dr. Mathew Thomson, for their insightful comments on earlier drafts of this article.",like;thank
20_Century_Br_Hist/PMC5905639.nxml,Mathew Thomson,co;investigator;members;team;comments;insight,,I would like to thank my co-investigator Mathew Thomson and all members of the team for their comments and insight.,like;thank
3D_Print_Med/PMC5954789.nxml,Diya Ma;Matthew-Lun Wong;Jin-Peng Lee,authors;contributions;software;development,,"The authors wish to acknowledge Diya Ma, Matthew-Lun Wong, Ka-Long Ko, Ka-Hei Ko and Jin-Peng Lee for their important contributions to the software development.",wish;acknowledge
3D_Print_Med/PMC5954790.nxml,Clarice Smith;Abigail van Buren;Corinne Schuler,support,the Robert Wood Johnson Foundation;Marvin Dekelboum Family Foundation;The Liston Family Foundation;the Robert H.;Disease Research Program;The GHR Foundation;Foundation;the Mayo Foundation,"Additional support was provided by the Robert Wood Johnson Foundation, The Elsie and Marvin Dekelboum Family Foundation, The Liston Family Foundation, the Robert H. and Clarice Smith and Abigail van Buren Alzheimer’s Disease Research Program, The GHR Foundation, Foundation Dr. Corinne Schuler (Geneva, Switzerland), and the Mayo Foundation.",provide
3D_Print_Med/PMC5954792.nxml,Michel Vong,authors;help;operation;printing;video;recording;editing,the University of Edinburgh,The authors would like to thank Michel Vong of the University of Edinburgh for his help and support in the operation of the 3D printing and video recording/editing.,like;thank;support
3D_Print_Med/PMC5954794.nxml,Dinghau Huang;Pi-Hsia Liu,authors;arrangement;participants;orthosis;design;exercise;advice;interviews,Ming Chi University of Technology;the Chang Gung University of Science and Technology,"The authors would like to thank Dr. Dinghau Huang of Ming Chi University of Technology and Prof. Pi-Hsia Liu of the Chang Gung University of Science and Technology for their arrangement for voluntary participants in the orthosis design exercise, and great advice concerning the interviews.",like;thank;concern
3D_Print_Med/PMC5954795.nxml,Alexandre Colello Bruno;Agnelo Bastos;Clésio Fernandes;Carlos Renato;Lourenço Rocha;Sérgio Bueno,contribution;support,,"Alexandre Colello Bruno for intellectual contribution, Agnelo Bastos, Clésio Fernandes, Carlos Renato, Lourenço Rocha and Sérgio Bueno for technical support.",
3D_Print_Med/PMC5954797.nxml,Data Analysis,SL;Study;design;manuscript;revision;manuscript,Data Acquisition;Critical,"SL: Study design, Data Acquisition, Data Analysis, Drafting of manuscript, Critical revision of the manuscript.",
3D_Print_Med/PMC5954799.nxml,Dustin Makin,authors;support;3D;process,CreateCafe;Saskatoon,"The authors would like to thank Dustin Makin, CreateCafe, Saskatoon for the technical support during the 3D-printing process.",like;thank;print
3D_Print_Med/PMC6036663.nxml,Hand Surgeon,IT,CLINICA ARS MEDICA;Gravesano-Lugano,"IT: Hand Surgeon, CLINICA ARS MEDICA, Gravesano-Lugano, CH.",
