,filename,Is Female (Weighted),Names,Nouns,Organizations,Text,Verbs
0,20_Century_Br_Hist/PMC4804230.nxml,0.0,Mathew Thomson,author;reviewers;comments;drafts;article,,"The author would like to sincerely thank the anonymous reviewers, as well as Dr. Mathew Thomson, for their insightful comments on earlier drafts of this article.",like;thank
1,20_Century_Br_Hist/PMC5905639.nxml,0.0,Mathew Thomson,co;investigator;members;team;comments;insight,,I would like to thank my co-investigator Mathew Thomson and all members of the team for their comments and insight.,like;thank
4,3D_Print_Med/PMC5954792.nxml,0.0,Michel Vong,authors;help;operation;printing;video;recording;editing,the University of Edinburgh,The authors would like to thank Michel Vong of the University of Edinburgh for his help and support in the operation of the 3D printing and video recording/editing.,like;thank;support
7,3D_Print_Med/PMC5954799.nxml,0.0,Dustin Makin,authors;support;3D;process,CreateCafe;Saskatoon,"The authors would like to thank Dustin Makin, CreateCafe, Saskatoon for the technical support during the 3D-printing process.",like;thank;print
11,3D_Print_Med/PMC6036610.nxml,0.0,Amir Imanzadeh,authors;contribution;data;collection;preparation;manuscript,,The authors would like to thank Drs Bohdan Pomahac and Amir Imanzadeh for their invaluable contribution in data collection and in preparation of the manuscript.,like;thank
14,3_Biotech/PMC3339585.nxml,1.0,Smriti Shrivastava,,CSIR for Senior Research Fellowship,Smriti Shrivastava is thankful to CSIR for Senior Research Fellowship (,
17,3_Biotech/PMC3339612.nxml,1.0,Rosnah Mustafa,authors;comments;paper,,The authors wish to thank Rosnah Mustafa for her comments on the paper.,wish;thank
22,3_Biotech/PMC3339608.nxml,0.0,Samuel S. Gnanamanickam,authors;help;lab;facilities;house;facility;work,Dr. Ajay Parida,The authors gratefully acknowledge the timely help from Dr. Samuel S. Gnanamanickam and Dr. Ajay Parida for providing lab facilities and green house facility for part of the work.,acknowledge;provide
23,3_Biotech/PMC3339622.nxml,1.0,Deborah Stenzel,assistance;electron;microscopy,,"We thank Dr Deborah Stenzel, QUT, for assistance in electron microscopy.",thank
24,3_Biotech/PMC3339622.nxml,0.0,Christopher D. Ogg,recipient,Griffith University’s Australian Post-Graduate Research Award (APRA,Christopher D. Ogg is a recipient of Griffith University’s Australian Post-Graduate Research Award (APRA).,
25,3_Biotech/PMC3339603.nxml,0.0,Gaurav Sablok,,,Gaurav Sablok,
29,3_Biotech/PMC3482448.nxml,1.0,Laura Cox,advice,the Texas Biomedical Research Institute,The advice of Dr Laura Cox of the Texas Biomedical Research Institute is gratefully acknowledged.,acknowledge
30,3_Biotech/PMC3482444.nxml,0.0,Jayesh Bellare,authors;facilities;surface;area;measurement;analysis;samples,Department of Chemical Engineering;IIT Bombay;BET;Centre for Research in Nanotechnology and Science—Sophisticated Analytical Instrumental Centre;CRNTS;IIT Bombay,"The authors would like to thank Prof. Jayesh Bellare, Department of Chemical Engineering, IIT Bombay for providing facilities for BET surface area measurement and Centre for Research in Nanotechnology and Science—Sophisticated Analytical Instrumental Centre (CRNTS-SAIF) at IIT Bombay for FTIR analysis of algal samples.",like;thank;provide
34,3_Biotech/PMC4434411.nxml,0.0,Gerhard Kauer,help,Univeristy of Applied Sciences Emden,We would like to thank Gerhard Kauer (Univeristy of Applied Sciences Emden) for his help.,like;thank
42,3_Biotech/PMC3824784.nxml,0.0,Thomas M. Gradziel,plant;materials;study,,We thank Thomas M. Gradziel for providing plant materials for this study.,thank;provide
44,3_Biotech/PMC3563744.nxml,0.0,David Summers,discussion;comments,Department of Genetics;University of Cambridge,"We would like to thank Prof David Summers (Department of Genetics, University of Cambridge) for helpful discussion and constructive comments.",like;thank
46,3_Biotech/PMC3563740.nxml,0.0,Arka Shirish,help;seeds,Indian Institute of Horticultural Research (IIHR,We acknowledge the help of Indian Institute of Horticultural Research (IIHR) for providing the seeds of Arka Shirish.,acknowledge;provide
48,3_Biotech/PMC3646113.nxml,0.0,Shekhar B. Jadhav,fellowship;PURSE;program,"Department of Science and Technolgy, Government of;DST-PURSE","Shekhar B. Jadhav is thankful to Department of Science and Technolgy, Government of India, for providing fellowship under DST-PURSE program.",provide
